2449,京元電子,2450,神腦,
2451,創見,2453,凌群,
2454,聯發科,2455,全新,
2456,奇力新,2457,飛宏,
2458,義隆,2459,敦吉,
2460,建通,2461,光群雷,
2462,良得電,2464,盟立,
2465,麗臺,2466,冠西電,
2467,志聖,2468,華經,
2471,資通,2472,立隆電,
2474,可成,2476,鉅祥,
2477,美隆電,2478,大毅,
2480,敦陽科,2481,強茂,
2482,連宇,2483,百容,
2484,希華,2485,兆赫,
2486,一詮,2488,漢平,
2489,瑞軒,2491,吉祥全,
2492,華新科,2493,揚博,
2495,普安,2496,卓越,
2497,怡利電,2498,宏達電,
2501,國建,2504,國產,
2505,國揚,2506,太設,
2509,全坤建,2511,太子,
2514,龍邦,2515,中工,
2516,新建,2520,冠德,
2524,京城,2527,宏璟,
2528,皇普,2530,華建,
2534,宏盛,2535,達欣工,
2536,宏普,2537,聯上發,
2538,基泰,2539,櫻花建,
2540,愛山林,2542,興富發,
2543,皇昌,2545,皇翔,
2546,根基,2547,日勝生,
2548,華固,2597,潤弘,
2601,益航,2603,長榮,
2605,新興,2606,裕民,
2607,榮運,2608,嘉里大榮,
2609,陽明,2610,華航,
2611,志信,2612,中航,
2613,中櫃,2614,東森,
2615,萬海,2616,山隆,
2617,台航,2618,長榮航,
2630,亞航,2633,台灣高鐵,
2634,漢翔,2636,台驊投控,
2637,慧洋-KY,2642,宅配通,
2701,萬企,2702,華園,
2704,國賓,2705,六福,
2706,第一店,2707,晶華,
2712,遠雄來,2722,夏都,
2723,美食-KY,2727,王品,
2731,雄獅,2739,寒舍,
2748,雲品,2801,彰銀,
2809,京城銀,2812,台中銀,
2816,旺旺保,2820,華票,
2823,中壽,2832,台產,
2834,臺企銀,2836,高雄銀,
2838,聯邦銀,2841,台開,
2845,遠東銀,2849,安泰銀,
2850,新產,2851,中再保,
2852,第一保,2855,統一證,
2867,三商壽,2880,華南金,
2881,富邦金,2882,國泰金,
2883,開發金,2884,玉山金,
2885,元大金,2886,兆豐金,
2887,台新金,2888,新光金,
2889,國票金,2890,永豐金,
2891,中信金,2892,第一金,
2897,王道銀行,2901,欣欣,
2903,遠百,2904,匯僑,
2905,三商,2906,高林,
2908,特力,2910,統領,
2911,麗嬰房,2912,統一超,
2913,農林,2915,潤泰全,
2923,鼎固-KY,2929,淘帝-KY,
2936,客思達-KY,2939,凱羿-KY,
3002,歐格,3003,健和興,
3004,豐達科,3005,神基,
3006,晶豪科,3008,大立光,
3010,華立,3011,今皓,
3013,晟銘電,3014,聯陽,
3015,全漢,3016,嘉晶,
3017,奇鋐,3018,同開,
3019,亞光,3021,鴻名,
3022,威強電,3023,信邦,
3024,憶聲,3025,星通,
3026,禾伸堂,3027,盛達,
3028,增你強,3029,零壹,
3030,德律,3031,佰鴻,
3032,偉訓,3033,威健,
3034,聯詠,3035,智原,
3036,文曄,3037,欣興,
3038,全台,3040,遠見,
3041,揚智,3042,晶技,
3043,科風,3044,健鼎,
3045,台灣大,3046,建碁,
3047,訊舟,3048,益登,
3049,和鑫,3050,鈺德,
3051,力特,3052,夆典,
3054,立萬利,3055,蔚華科,
3056,總太,3057,喬鼎,
3058,立德,3059,華晶科,
3060,銘異,3062,建漢,
3090,日電貿,3094,聯傑,
3130,一零四,3138,耀登,
3149,正達,3164,景岳,
3167,大量,3189,景碩,
3209,全科,3229,晟鈦,
3231,緯創,3257,虹冠電,
3266,昇陽,3296,勝德,
3305,昇貿,3308,聯德,
3311,閎暉,3312,弘憶股,
3321,同泰,3338,泰碩,
3346,麗清,3356,奇偶,
3376,新日興,3380,明泰,
3383,新世紀,3406,玉晶光,
3413,京鼎,3416,融程電,
3419,譁裕,3432,台端,
3437,榮創,3443,創意,
3450,聯鈞,3454,晶睿,
3481,群創,3494,誠研,
3501,維熹,3504,揚明光,
3515,華擎,3518,柏騰,
3528,安馳,3530,晶相光,
3532,台勝科,3533,嘉澤,
3535,晶彩科,3536,誠創,
3543,州巧,3545,敦泰,
3550,聯穎,3557,嘉威,
3563,牧德,3576,聯合再生,
3583,辛耘,3588,通嘉,
3591,艾笛森,3593,力銘,
3596,智易,3605,宏致,
3607,谷崧,3617,碩天,
3622,洋華,3645,達邁,
3653,健策,3661,世芯-KY,
3665,貿聯-KY,3669,圓展,
3673,TPK-KY,3679,新至陞,
3682,亞太電,3686,達能,
3694,海華,3701,大眾控,
3702,大聯大,3703,欣陸,
3704,合勤控,3705,永信,
3706,神達,3708,上緯投控,
3711,日月光投控,3712,永崴投控,
3714,富采,4104,佳醫,
4106,雃博,4108,懷特,
4119,旭富,4133,亞諾法,
4137,麗豐-KY,4141,龍燈-KY,
4142,國光生,4148      ,全宇生技-KY,
4155,訊映,4164,承業醫,
4190,佐登-KY,4306,炎洲,
4414,如興,4426,利勤,
4438,廣越,4439,冠星-KY,
4526,東台,4532,瑞智,
4536,拓凱,4540,全球傳動,
4545,銘鈺,4551,智伸科,
4552,力達-KY,4555,氣立,
4557,永新-KY,4560,強信-KY,
4562,穎漢,4564,元翎,
4566,時碩工業,4571,鈞興-KY,
4572,駐龍,4576,大銀微系統,
4581,光隆精密-KY,4720,德淵,
4722,國精化,4737,華廣,
4739,康普,4746,台耀,
4755,三福化,4763,材料-KY,
4764,雙鍵,4766,南寶,
4807,日成-KY,4904,遠傳,
4906,正文,4912,聯德控股-KY,
4915,致伸,4916,事欣科,
4919,新唐,4927,泰鼎-KY,
4930,燦星網,4934,太極,
4935,茂林-KY,4938,和碩,
4942,嘉彰,4943,康控-KY,
4952,凌通,4956,光鋐,
4958,臻鼎-KY,4960,誠美材,
4961,天鈺,4967,十銓,
4968,立積,4976,佳凌,
4977,眾達-KY,4989,榮科,
4994,傳奇,4999,鑫禾,
5007,三星,5203,訊連,
5215,科嘉-KY,5225,東科-KY,
5234,達興材料,5243,乙盛-KY,
5258,虹堡,5269,祥碩,
5283,禾聯碩,5284,jpp-KY,
5285,界霖,5288,豐祥-KY,
5388,中磊,5434,崇越,
5469,瀚宇博,5471,松翰,
5484,慧友,5515,建國,
5519,隆大,5521,工信,
5522,遠雄,5525,順天,
5531,鄉林,5533,皇鼎,
5534,長虹,5538,東明-KY,
5546,永固-KY,5607,遠雄港,
5608,四維航,5706,鳳凰,
5871,中租-KY,5876,上海商銀,
5880,合庫金,5906,台南-KY,
5907,大洋-KY,6005,群益證,
6024,群益期,6108,競國,
6112,聚碩,6115,鎰勝,
6116,彩晶,6117,迎廣,
6120,達運,6128,上福,
6131,鈞泰,6133,金橋,
6136,富爾特,6139,亞翔,
6141,柏承,6142,友勁,
6152,百一,6153,嘉聯益,
6155,鈞寶,6164,華興,
6165,浪凡,6166,凌華,
6168,宏齊,6172,互億,
6176,瑞儀,6177,達麗,
6183,關貿,6184,大豐電,
6189,豐藝,6191,精成科,
6192,巨路,6196,帆宣,
6197,佳必琪,6201,亞弘電,
6202,盛群,6205,詮欣,
6206,飛捷,6209,今國光,
6213,聯茂,6214,精誠,
6215,和椿,6216,居易,
6224,聚鼎,6225,天瀚,
6226,光鼎,6230,尼得科超眾,
6235,華孚,6239,力成,
6243,迅杰,6251,定穎,
6257,矽格,6269,台郡,
6271,同欣電,6277,宏正,
6278,台表科,6281,全國電,
6282,康舒,6283,淳安,
6285,啟碁,6288,聯嘉,
6289,華上,6405,悅城,
6409,旭隼,6412,群電,
6414,樺漢,6415,矽力-KY,
6416,瑞祺電通,6426,統新,
6431,光麗-KY,6438,迅得,
6442,光聖,6443,元晶,
6449,鈺邦,6451,訊芯-KY,
6456,GIS-KY,6464,台數科,
6477,安集,6491,晶碩,
6504,南六,6505,台塑化,
6515,穎崴,6525,捷敏-KY,
6531,愛普,6533,晶心科,
6541,泰福-KY,6552,易華電,
6558,興能高,6573,虹揚-KY,
6579,研揚,6581,鋼聯,
6582,申豐,6591,動力-KY,
6592,和潤企業,6598,ABC-KY,
6605,帝寶,6625,必應,
6641,基士德-KY,6655,科定,
6666,羅麗芬-KY,6668,中揚光,
6669,緯穎,6670,復盛應用,
6671,三能-KY,6672,騰輝電子-KY,
6674,鋐寶科技,6698,旭暉應材,
6706,惠特,6715,嘉基,
6743,安普新,6754,匯僑設計,
6756,威鋒電子,6776,展碁國際,
6781,AES-KY,8011,台通,
8016,矽創,8021,尖點,
8028,昇陽半導體,8033,雷虎,
8039,台虹,8046,南電,
8070,長華*,8072,陞泰,
8081,致新,8101,華冠,
8103,瀚荃,8104,錸寶,
8105,凌巨,8110,華東,
8112,至上,8114,振樺電,
8131,福懋科,8150,南茂,
8163,達方,8201,無敵,
8210,勤誠,8213,志超,
8215,明基材,8222,寶一,
8249,菱光,8261,富鼎,
8271,宇瞻,8341,日友,
8367,建新國際,8374,羅昇,
8404,百和興業-KY,8411,福貞-KY,
8422,可寧衛,8427,基勝-KY,
8429,金麗-KY,8442,威宏-KY,
8443,阿瘦,8454,富邦媒,
8462,柏文,8463,潤泰材,
8464,億豐,8466,美吉吉-KY,
8467,波力-KY,8473,山林水,
8478,東哥遊艇,8480,泰昇-KY,
8481,政伸,8482,商億-KY,
8488,吉源-KY,8499,鼎炫-KY,
8926,台汽電,8940,新天地,
8996,高力,9802,鈺齊-KY,
9902,台火,9904,寶成,
9905,大華,9906,欣巴巴,
9907,統一實,9908,大台北,
9910,豐泰,9911,櫻花,
9912,偉聯,9914,美利達,
9917,中保科,9918,欣天然,
9919,康那香,9921,巨大,
9924,福興,9925,新保,
9926,新海,9927,泰銘,
9928,中視,9929,秋雨,
9930,中聯資源,9931,欣高,
9933,中鼎,9934,成霖,
9935,慶豐富,9937,全國,
9938,百和,9939,宏全,
9940,信義,9941,裕融,
9942,茂順,9943,好樂迪,
9944,新麗,9945,潤泰新,
9946,三發地產,9955,佳龍,
9958,世紀鋼,030001,萬海中信0B購01,
030002,晶技中信0A購01,030003,景碩中信0B購01,
030004,群創中信0C購01,030005,新唐中信0A購01,
030006,新唐中信0B購01,030007,東鋼第一14購01,
030008,長興元富0B購01,030009,長興元富11購01,
030010,聯發科元富0A購09,030011,聯發科元富11購06,
030012,聯發科元富11購07,030013,聯發科元富11購08,
030014,玉晶光元富11購02,030015,聯鈞元富11購01,
030016,松翰元富0C購01,030017,彩晶元富0A購01,
030018,彩晶元富0B購01,030019,南帝康和0A購01,
030020,日勝生康和0A購01,030021,台達電日盛0C購01,
030022,華邦電日盛0B購01,030023,義隆日盛0B購01,
030024,群創日盛0B購01,030025,台灣50台新0A購01,
030026,上銀統一0C購01,030027,晶技統一0C購01,
030028,聯鈞統一0B購01,030029,新唐統一0C購01,
030030,立積統一13購01,030031,松翰統一0B購02,
030032,巨大統一0C購01,030033,滬深2X元大0B購02,
030034,國喬元大0C購01,030035,力麗元大0A購01,
030036,力麗元大0B購01,030037,岱宇元大0A購01,
030038,長興元大11購01,030039,長興元大12購01,
030040,光寶科元大0A購01,030041,仁寶元大0B購01,
030042,台積電元大0A購05,030043,台積電元大0A購06,
030044,英業達元大0A購02,030045,瑞昱元大0A購01,
030046,興富發元大12購01,030047,長榮元大0A購04,
030048,長榮元大0A購05,030049,長榮元大0A購06,
030050,萬海元大0C購02,030051,景碩元大0A購03,
030052,玉晶光元大0A購03,030053,群創元大0A購04,
030054,群創元大0A購05,030055,台勝科元大11購01,
030056,台勝科元大12購01,030057,立積元大0A購04,
030058,瀚宇博元大0B購01,030059,松翰元大0B購02,
03005X,元展05,030060,彩晶元大0A購04,
030061,彩晶元大0A購05,030062,南茂元大0B購01,
030063,A50正2群益0A購01,030064,元金2X群益11購01,
030065,道瓊銀群益0A購01,030066,華夏群益0B購01,
030067,岱宇群益0B購01,030068,長興群益11購01,
030069,南帝群益0C購01,03006X,元展06,
030070,台達電群益0A購01,030071,鴻海群益0C購05,
030072,國巨群益0A購01,030073,台積電群益0A購12,
030074,聯發科群益0C購06,030075,興富發群益11購01,
030076,富邦金群益0C購01,030077,國泰金群益0A購01,
030078,嘉晶群益0A購01,030079,景碩群益0B購02,
03007X,元展07,030080,台勝科群益11購01,
030081,拓凱群益0C購01,030082,超眾群益11購01,
030083,超眾群益11購02,030084,同欣電群益0B購01,
030085,美德醫群益0B購01,030086,巨騰群益0C購01,
